"filename", "language", "JSON", "Markdown", "JavaScript", "XML", "HTML", "Vue", "CSS", "comment", "blank", "total"
"c:\Users\arend\bakalarka\bakalarka\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\arend\bakalarka\bakalarka\apps\client\.eslintrc.cjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 2, 15
"c:\Users\arend\bakalarka\bakalarka\apps\client\README.md", "Markdown", 0, 22, 0, 0, 0, 0, 0, 0, 14, 36
"c:\Users\arend\bakalarka\bakalarka\apps\client\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"c:\Users\arend\bakalarka\bakalarka\apps\client\package-lock.json", "JSON", 3536, 0, 0, 0, 0, 0, 0, 0, 1, 3537
"c:\Users\arend\bakalarka\bakalarka\apps\client\package.json", "JSON", 30, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\arend\bakalarka\bakalarka\apps\client\public\devel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\arend\bakalarka\bakalarka\apps\client\public\employee.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\arend\bakalarka\bakalarka\apps\client\public\tools.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\arend\bakalarka\bakalarka\apps\client\public\truck.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\App.vue", "Vue", 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 0, 59, 2, 14, 75
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Attendance.vue", "Vue", 0, 0, 0, 0, 0, 341, 0, 0, 12, 353
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Cards\CardEmployee.vue", "Vue", 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Cards\CardEquipment.vue", "Vue", 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Cards\CardVehicle.vue", "Vue", 0, 0, 0, 0, 0, 30, 0, 0, 2, 32
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Cards\Total.vue", "Vue", 0, 0, 0, 0, 0, 112, 0, 0, 9, 121
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Layout.vue", "Vue", 0, 0, 0, 0, 0, 67, 0, 0, 5, 72
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Navigation.vue", "Vue", 0, 0, 0, 0, 0, 124, 0, 0, 4, 128
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Tables\AttendanceReport.vue", "Vue", 0, 0, 0, 0, 0, 140, 0, 14, 10, 164
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Tables\Employees.vue", "Vue", 0, 0, 0, 0, 0, 489, 0, 0, 27, 516
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Tables\Equipment.vue", "Vue", 0, 0, 0, 0, 0, 402, 0, 0, 32, 434
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Tables\Vehicles.vue", "Vue", 0, 0, 0, 0, 0, 508, 0, 0, 35, 543
"c:\Users\arend\bakalarka\bakalarka\apps\client\src\components\Tables\totalAttendance.vue", "Vue", 0, 0, 0, 0, 0, 135, 0, 0, 10, 145
